max_len,val_cnt,inval_cnt,novel_cnt,max_sol,mean_sol,std_sol,max_qed,mean_qed,std_qed,max_synth,mean_synth,std_synth
10,312,688,16,1.0,0.5951861518623669,0.24255193536153988,0.077,0.021937500000000002,0.01580928821136486,0.839,0.45718749999999997,0.15898161008038006
13,103,897,14,1.0,0.47090921301530086,0.2096933938428868,0.055,0.017571428571428575,0.010668473486427766,0.635,0.3455,0.13694928675556195
12,415,585,12,1.0,0.5456475683967009,0.24890909483847237,0.06,0.02033333333333334,0.01297647443988115,0.802,0.41758333333333336,0.17847336791677226
6,163,837,11,1.0,0.40179772150925996,0.30048993888632586,0.181,0.03781818181818181,0.04587694644236943,3.637,0.8318181818181819,0.9051537105207168
14,281,719,11,1.0,0.45791965296114684,0.29809317039189714,0.056,0.020454545454545454,0.013825954751603536,0.78,0.40863636363636363,0.18601821647221578
7,24,976,10,1.0000000000000002,0.4054594613331485,0.31636454728049007,0.041,0.0241,0.008949301648732151,0.668,0.46930000000000005,0.12415639331101722
11,91,909,10,1.0,0.5109524935975893,0.2320144517269193,0.017,0.015300000000000003,0.0022383029285599396,0.67,0.4107,0.15081913008633885
8,200,800,9,0.9999999999999999,0.35801117431154544,0.27679489408292923,0.114,0.029,0.030897680603350585,0.9,0.4643333333333334,0.18984321016155528
9,36,964,8,1.0,0.5839461056560181,0.26884129643658916,0.032,0.018625000000000003,0.006223694642252302,0.65,0.39625,0.12347444067498342
5,34,966,5,1.0,0.4093466782252346,0.33823499169217686,0.073,0.0334,0.019815145722401336,0.388,0.3386,0.052251698536985386
4,68,932,4,1.0,0.4972765181131092,0.35440225229186545,0.119,0.055749999999999994,0.03696873679205174,0.65,0.501,0.11608402129492242
3,131,869,1,0.0,0.0,0.0,0.299,0.299,0.0,0.747,0.747,0.0
